연도,분기,분기별_연도,지역,전입자수,전출자수
2015,8,201508,대전광역시,17798.0,19585.0
2015,8,201508,부산광역시,38816.0,40553.0
2015,8,201508,서울특별시,128717.0,141628.0
2015,8,201508,세종특별자치시,7111.0,2584.0
2015,8,201508,울산광역시,12016.0,12258.0
2015,8,201508,인천광역시,39893.0,38781.0
2015,8,201508,전국,618777.0,618777.0
2015,8,201508,전라남도,20383.0,19830.0
2015,8,201508,전북특별자치도,21078.0,21547.0
2015,8,201508,제주특별자치도,6602.0,5423.0
2015,8,201508,충청남도,23065.0,21272.0
2015,8,201508,충청북도,16199.0,16518.0
2015,9,201509,강원특별자치도,15783.0,15369.0
2015,9,201509,경기도,148450.0,139325.0
2015,9,201509,경상남도,31211.0,29703.0
2015,9,201509,경상북도,22633.0,22574.0
2015,9,201509,광주광역시,14920.0,15928.0
2015,9,201509,대구광역시,24619.0,25315.0
2015,9,201509,대전광역시,15448.0,16777.0
2015,9,201509,부산광역시,32915.0,34987.0
2015,9,201509,서울특별시,112803.0,125689.0
2015,9,201509,세종특별자치시,5870.0,2244.0
2015,9,201509,울산광역시,10873.0,11106.0
2015,9,201509,인천광역시,36563.0,35679.0
2015,9,201509,전국,550423.0,550423.0
2015,9,201509,전라남도,17879.0,17168.0
2015,9,201509,전북특별자치도,18501.0,18406.0
2015,9,201509,제주특별자치도,6528.0,5193.0
2015,9,201509,충청남도,21120.0,20627.0
2015,9,201509,충청북도,14307.0,14333.0
2015,0,201510,강원특별자치도,19842.0,18758.0
2015,0,201510,경기도,174074.0,164682.0
2015,0,201510,경상남도,36285.0,35282.0
2015,0,201510,경상북도,27280.0,26993.0
2015,0,201510,광주광역시,17014.0,18549.0
2015,0,201510,대구광역시,28104.0,29519.0
2015,0,201510,대전광역시,18093.0,19809.0
2015,0,201510,부산광역시,39877.0,41633.0
2015,0,201510,서울특별시,135505.0,150502.0
2015,0,201510,세종특별자치시,6652.0,2568.0
2015,0,201510,울산광역시,16539.0,15062.0
2015,0,201510,인천광역시,42386.0,41610.0
2015,0,201510,전국,653444.0,653444.0
2015,0,201510,전라남도,20815.0,19522.0
2015,0,201510,전북특별자치도,21714.0,21781.0
2015,0,201510,제주특별자치도,7341.0,5971.0
2015,0,201510,충청남도,24459.0,23930.0
2015,0,201510,충청북도,17464.0,17273.0
2015,1,201511,강원특별자치도,18169.0,18195.0
2015,1,201511,경기도,173851.0,165298.0
2015,1,201511,경상남도,39672.0,39054.0
2015,1,201511,경상북도,29066.0,27864.0
2015,1,201511,광주광역시,17962.0,18041.0
2015,1,201511,대구광역시,28060.0,29009.0
2015,1,201511,대전광역시,17744.0,19509.0
2015,1,201511,부산광역시,42243.0,43674.0
2015,1,201511,서울특별시,132012.0,145622.0
2015,1,201511,세종특별자치시,6173.0,2486.0
2015,1,201511,울산광역시,14284.0,13828.0
2015,1,201511,인천광역시,40391.0,39760.0
2015,1,201511,전국,650197.0,650197.0
2015,1,201511,전라남도,19913.0,20020.0
2015,1,201511,전북특별자치도,22673.0,22314.0
2015,1,201511,제주특별자치도,7533.0,6474.0
2015,1,201511,충청남도,24050.0,22769.0
2015,1,201511,충청북도,16401.0,16280.0
2015,2,201512,강원특별자치도,21426.0,21113.0
2015,2,201512,경기도,181157.0,168315.0
2015,2,201512,경상남도,43683.0,42441.0
2015,2,201512,경상북도,32397.0,31916.0
2015,2,201512,광주광역시,19486.0,22564.0
2015,2,201512,대구광역시,29168.0,31156.0
2015,2,201512,대전광역시,18889.0,21730.0
2015,2,201512,부산광역시,48899.0,50539.0
2015,2,201512,서울특별시,133340.0,150733.0
2015,2,201512,세종특별자치시,7594.0,2951.0
2015,2,201512,울산광역시,14051.0,15162.0
2015,2,201512,인천광역시,39160.0,38841.0
2015,2,201512,전국,700153.0,700153.0
2015,2,201512,전라남도,27477.0,23724.0
2015,2,201512,전북특별자치도,25195.0,25101.0
2015,2,201512,제주특별자치도,9230.0,7999.0
2015,2,201512,충청남도,27734.0,25312.0
2015,2,201512,충청북도,21267.0,20556.0
2016,1,201601,강원특별자치도,20120.0,20392.0
2016,1,201601,경기도,148176.0,138986.0
2016,1,201601,경상남도,38068.0,38550.0
